#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 16 00  23  7.5  8.2 99.00 99.00 99.00 999 1002.8   2.8 999.0   2.2 99.0 99.00
2019 01 05 17 00  24  8.5  9.3 99.00 99.00 99.00 999 1001.6   2.5 999.0   2.2 99.0 99.00
2019 01 05 18 00  21  8.6  9.5 99.00 99.00 99.00 999 1000.3   2.8 999.0   2.5 99.0 99.00
2019 01 05 19 00  26  9.5 10.1 99.00 99.00 99.00 999  999.7   2.8 999.0   2.4 99.0 99.00
2019 01 05 20 00  24 10.5 11.5 99.00 99.00 99.00 999  998.9   3.5 999.0   2.9 99.0 99.00
2019 01 05 21 00   8 11.2 12.6 99.00 99.00 99.00 999  998.7   3.5 999.0   2.4 99.0 99.00
2019 01 05 22 00   9 10.6 11.2 99.00 99.00 99.00 999  998.8   2.7 999.0   2.0 99.0 99.00
2019 01 05 23 00  10 10.3 11.4 99.00 99.00 99.00 999  999.2   2.9 999.0   2.6 99.0 99.00
2019 01 06 00 00 358  9.3 10.0 99.00 99.00 99.00 999  999.5   2.8 999.0   2.5 99.0 99.00
2019 01 06 01 00 351  8.6  9.5 99.00 99.00 99.00 999 1000.1   2.8 999.0   2.1 99.0 99.00
2019 01 06 02 00 336  8.7  9.6 99.00 99.00 99.00 999 1000.2   2.8 999.0   1.7 99.0 99.00
2019 01 06 03 00   5  8.5  9.8 99.00 99.00 99.00 999  999.7   3.2 999.0   1.7 99.0 99.00
2019 01 06 04 00 333  7.9  9.5 99.00 99.00 99.00 999 1000.5   2.7 999.0   1.1 99.0 99.00
2019 01 06 05 00 327  8.6  9.8 99.00 99.00 99.00 999 1000.8   2.9 999.0   0.4 99.0 99.00
2019 01 06 06 00 303  8.0  8.6 99.00 99.00 99.00 999 1001.5   2.7 999.0   0.4 99.0 99.00
2019 01 06 07 00 294  6.9  7.4 99.00 99.00 99.00 999 1002.5   2.3 999.0   0.0 99.0 99.00
2019 01 06 08 00 288  8.5  9.1 99.00 99.00 99.00 999 1002.8   2.5 999.0   0.1 99.0 99.00
2019 01 06 09 00 284  7.7  8.4 99.00 99.00 99.00 999 1003.1   2.4 999.0  -0.5 99.0 99.00
2019 01 06 10 00 275  7.4  8.4 99.00 99.00 99.00 999 1003.2   2.3 999.0  -0.2 99.0 99.00
2019 01 06 11 00 293  6.7  7.7 99.00 99.00 99.00 999 1003.9   2.5 999.0  -0.4 99.0 99.00
2019 01 06 12 00 287  7.2  7.9 99.00 99.00 99.00 999 1004.8   2.6 999.0  -0.3 99.0 99.00
2019 01 06 13 00 285  7.1  8.1 99.00 99.00 99.00 999 1005.4   2.9 999.0  -0.6 99.0 99.00
2019 01 06 14 00 278  7.1  7.9 99.00 99.00 99.00 999 1006.1   2.9 999.0  -0.3 99.0 99.00
2019 01 06 15 00 278  9.9 11.2 99.00 99.00 99.00 999 1006.6   3.3 999.0  -0.7 99.0 99.00
2019 01 06 16 00 277  8.9  9.8 99.00 99.00 99.00 999 1006.3   3.7 999.0  -1.0 99.0 99.00
2019 01 06 17 00 285  8.7 10.0 99.00 99.00 99.00 999 1006.3   4.5 999.0  -1.0 99.0 99.00
2019 01 06 18 00 292 12.9 15.9 99.00 99.00 99.00 999 1005.8   4.9 999.0  -2.8 99.0 99.00
2019 01 06 19 00 300 13.8 15.0 99.00 99.00 99.00 999 1006.5   5.2 999.0  -3.0 99.0 99.00
2019 01 06 20 00 304 12.0 13.6 99.00 99.00 99.00 999 1008.1   4.8 999.0  -3.5 99.0 99.00
2019 01 06 21 00 319 14.7 16.5 99.00 99.00 99.00 999 1009.7   4.2 999.0  -4.3 99.0 99.00
2019 01 06 22 00 311 15.5 18.0 99.00 99.00 99.00 999 1011.7   1.6 999.0  -7.7 99.0 99.00
2019 01 06 23 00 313 15.4 20.2 99.00 99.00 99.00 999 1013.8   0.2 999.0  -7.8 99.0 99.00
2019 01 07 00 00 304 17.2 20.8 99.00 99.00 99.00 999 1015.2  -1.2 999.0  -9.9 99.0 99.00
2019 01 07 01 00 319 18.2 21.3 99.00 99.00 99.00 999 1016.4  -1.8 999.0 -12.1 99.0 99.00
2019 01 07 02 00 331 18.1 19.9 99.00 99.00 99.00 999 1017.1  -2.4 999.0 -11.3 99.0 99.00
2019 01 07 03 00 317 13.6 15.3 99.00 99.00 99.00 999 1018.2  -3.3 999.0 -10.7 99.0 99.00
2019 01 07 04 00 308 13.6 15.8 99.00 99.00 99.00 999 1019.3  -4.7 999.0 -13.1 99.0 99.00
2019 01 07 05 00 314 12.6 14.8 99.00 99.00 99.00 999 1020.1  -5.1 999.0 -13.2 99.0 99.00
2019 01 07 06 00 298 13.5 15.9 99.00 99.00 99.00 999 1020.7  -5.6 999.0 -14.3 99.0 99.00
2019 01 07 07 00 317 15.1 16.8 99.00 99.00 99.00 999 1021.9  -5.9 999.0 -15.2 99.0 99.00
2019 01 07 08 00 309 11.5 13.4 99.00 99.00 99.00 999 1023.1  -6.6 999.0 -14.8 99.0 99.00
2019 01 07 09 00 301 12.5 14.6 99.00 99.00 99.00 999 1024.2  -7.0 999.0 -14.7 99.0 99.00
2019 01 07 10 00 311 11.1 12.8 99.00 99.00 99.00 999 1025.0  -7.7 999.0 -16.0 99.0 99.00
2019 01 07 11 00 306 10.8 12.6 99.00 99.00 99.00 999 1025.8  -8.0 999.0 -14.9 99.0 99.00
2019 01 07 12 00 304 11.4 13.6 99.00 99.00 99.00 999 1026.7  -8.0 999.0 -14.6 99.0 99.00
2019 01 07 13 00 312  8.1  9.6 99.00 99.00 99.00 999 1028.6  -8.1 999.0 -16.6 99.0 99.00
2019 01 07 14 00 318  8.5  9.6 99.00 99.00 99.00 999 1029.5  -7.9 999.0 -17.9 99.0 99.00
2019 01 07 15 00 324  9.0 10.0 99.00 99.00 99.00 999 1030.1  -7.2 999.0 -19.2 99.0 99.00
2019 01 07 16 00 307  7.2  8.9 99.00 99.00 99.00 999 1029.5  -6.4 999.0 -18.3 99.0 99.00
2019 01 07 17 00 323  7.4  9.7 99.00 99.00 99.00 999 1028.8  -5.3 999.0 -18.0 99.0 99.00
2019 01 07 18 00 330  6.7  7.5 99.00 99.00 99.00 999 1028.1  -4.5 999.0 -19.5 99.0 99.00
2019 01 07 19 00 293  5.4  6.0 99.00 99.00 99.00 999 1028.7  -3.4 999.0 -19.0 99.0 99.00
2019 01 07 20 00 313  5.0  6.1 99.00 99.00 99.00 999 1029.0  -2.7 999.0 -18.9 99.0 99.00
2019 01 07 21 00 298  4.9  5.8 99.00 99.00 99.00 999 1029.7  -2.8 999.0 -19.9 99.0 99.00
2019 01 07 22 00 315  4.0  4.8 99.00 99.00 99.00 999 1029.5  -3.0 999.0 -19.1 99.0 99.00
